days,relative weight
4.733605977,0.008309313
8.165593118,0.020898724
10.40100092,0.031344231
12.37546483,0.044466678
14.87019652,0.058460144
16.53462841,0.062880599
18.12319844,0.058800259
20.15629634,0.0466216
22.0584868,0.037454769
24.68950855,0.027753683
25.86088189,0.026751627
28.20444728,0.0216016
29.24639384,0.017921951
32.37094447,0.011836149
35.1310272,0.006218277
37.52606717,0.003277171
38.25495073,0.002542113
41.01386635,0.001408844
